"","x"
"1","A1BG"
"2","A1CF"
"3","A2M"
"4","A2ML1"
"5","A4GALT"
"6","A4GNT"
"7","AA06"
"8","AAAS"
"9","AACS"
"10","AACSP1"
"11","AADAC"
"12","AADACL2"
"13","AADACL3"
"14","AADACP1"
"15","AADAT"
"16","AAED1"
"17","AAGAB"
"18","AAK1"
"19","AAMDC"
"20","AAMP"
"21","AANAT"
"22","AAR2"
"23","AARD"
"24","AARS"
"25","AARS2"
"26","AARSD1"
"27","AASDH"
"28","AASDHPPT"
"29","AASS"
"30","AATBC"
"31","AATF"
"32","AATK"
"33","ABAT"
"34","ABCA1"
"35","ABCA10"
"36","ABCA11P"
"37","ABCA12"
"38","ABCA13"
"39","ABCA17P"
"40","ABCA2"
"41","ABCA3"
"42","ABCA4"
"43","ABCA5"
"44","ABCA6"
"45","ABCA7"
"46","ABCA8"
"47","ABCA9"
"48","ABCB1"
"49","ABCB10"
"50","ABCB11"
"51","ABCB4"
"52","ABCB5"
"53","ABCB6"
"54","ABCB7"
"55","ABCB8"
"56","ABCB9"
"57","ABCC1"
"58","ABCC10"
"59","ABCC11"
"60","ABCC12"
"61","ABCC13"
"62","ABCC2"
"63","ABCC3"
"64","ABCC4"
"65","ABCC5"
"66","ABCC6"
"67","ABCC6P1"
"68","ABCC6P2"
"69","ABCC8"
"70","ABCC9"
"71","ABCD1"
"72","ABCD2"
"73","ABCD3"
"74","ABCD4"
"75","ABCE1"
"76","ABCF1"
"77","ABCF2"
"78","ABCF3"
"79","ABCG1"
"80","ABCG2"
"81","ABCG4"
"82","ABCG5"
"83","ABCG8"
"84","ABHD1"
"85","ABHD10"
"86","ABHD11"
"87","ABHD12"
"88","ABHD12B"
"89","ABHD13"
"90","ABHD14A"
"91","ABHD14A.ACY1"
"92","ABHD14B"
"93","ABHD15"
"94","ABHD16A"
"95","ABHD16B"
"96","ABHD17A"
"97","ABHD17B"
"98","ABHD17C"
"99","ABHD2"
"100","ABHD3"
"101","ABHD4"
"102","ABHD5"
"103","ABHD6"
"104","ABHD8"
"105","ABI1"
"106","ABI2"
"107","ABI3"
"108","ABI3BP"
"109","ABL1"
"110","ABL2"
"111","ABLIM1"
"112","ABLIM2"
"113","ABLIM3"
"114","ABO"
"115","ABR"
"116","ABRA"
"117","ABRACL"
"118","ABT1"
"119","ABTB1"
"120","ABTB2"
"121","ACAA1"
"122","ACAA2"
"123","ACACA"
"124","ACACB"
"125","ACAD10"
"126","ACAD11"
"127","ACAD8"
"128","ACAD9"
"129","ACADL"
"130","ACADM"
"131","ACADS"
"132","ACADSB"
"133","ACADVL"
"134","ACAN"
"135","ACAP1"
"136","ACAP2"
"137","ACAP3"
"138","ACAT1"
"139","ACAT2"
"140","ACBD3"
"141","ACBD4"
"142","ACBD5"
"143","ACBD6"
"144","ACBD7"
"145","ACCS"
"146","ACCSL"
"147","ACD"
"148","ACE"
"149","ACE2"
"150","ACER1"
"151","ACER2"
"152","ACER3"
"153","ACHE"
"154","ACIN1"
"155","ACKR1"
"156","ACKR2"
"157","ACKR3"
"158","ACKR4"
"159","ACLY"
"160","ACMSD"
"161","ACO1"
"162","ACO2"
"163","ACOT1"
"164","ACOT11"
"165","ACOT12"
"166","ACOT13"
"167","ACOT2"
"168","ACOT4"
"169","ACOT6"
"170","ACOT7"
"171","ACOT8"
"172","ACOT9"
"173","ACOX1"
"174","ACOX2"
"175","ACOX3"
"176","ACOXL"
"177","ACP1"
"178","ACP2"
"179","ACP5"
"180","ACP6"
"181","ACPP"
"182","ACPT"
"183","ACR"
"184","ACRBP"
"185","ACRC"
"186","ACRV1"
"187","ACSBG1"
"188","ACSBG2"
"189","ACSF2"
"190","ACSF3"
"191","ACSL1"
"192","ACSL3"
"193","ACSL4"
"194","ACSL5"
"195","ACSL6"
"196","ACSM1"
"197","ACSM2A"
"198","ACSM2B"
"199","ACSM3"
"200","ACSM5"
"201","ACSM6"
"202","ACSS1"
"203","ACSS2"
"204","ACSS3"
"205","ACTA1"
"206","ACTA2"
"207","ACTB"
"208","ACTBL2"
"209","ACTC1"
"210","ACTG1"
"211","ACTG1P17"
"212","ACTG2"
"213","ACTL10"
"214","ACTL6A"
"215","ACTL6B"
"216","ACTL7A"
"217","ACTL7B"
"218","ACTL8"
"219","ACTL9"
"220","ACTN1"
"221","ACTN2"
"222","ACTN3"
"223","ACTN4"
"224","ACTR10"
"225","ACTR1A"
"226","ACTR1B"
"227","ACTR2"
"228","ACTR3"
"229","ACTR3B"
"230","ACTR3C"
"231","ACTR5"
"232","ACTR6"
"233","ACTR8"
"234","ACTRT1"
"235","ACTRT2"
"236","ACTRT3"
"237","ACVR1"
"238","ACVR1B"
"239","ACVR1C"
"240","ACVR2A"
"241","ACVR2B"
"242","ACVRL1"
"243","ACY1"
"244","ACY3"
"245","ACYP1"
"246","ACYP2"
"247","ADA"
"248","ADAD1"
"249","ADAD2"
"250","ADAL"
"251","ADAM10"
"252","ADAM11"
"253","ADAM12"
"254","ADAM15"
"255","ADAM17"
"256","ADAM18"
"257","ADAM19"
"258","ADAM2"
"259","ADAM20"
"260","ADAM20P1"
"261","ADAM22"
"262","ADAM23"
"263","ADAM28"
"264","ADAM29"
"265","ADAM30"
"266","ADAM32"
"267","ADAM33"
"268","ADAM3A"
"269","ADAM5"
"270","ADAM6"
"271","ADAM7"
"272","ADAM8"
"273","ADAM9"
"274","ADAMDEC1"
"275","ADAMTS1"
"276","ADAMTS10"
"277","ADAMTS12"
"278","ADAMTS13"
"279","ADAMTS14"
"280","ADAMTS15"
"281","ADAMTS16"
"282","ADAMTS17"
"283","ADAMTS18"
"284","ADAMTS19"
"285","ADAMTS2"
"286","ADAMTS20"
"287","ADAMTS3"
"288","ADAMTS4"
"289","ADAMTS5"
"290","ADAMTS6"
"291","ADAMTS7"
"292","ADAMTS8"
"293","ADAMTS9"
"294","ADAMTSL1"
"295","ADAMTSL2"
"296","ADAMTSL3"
"297","ADAMTSL4"
"298","ADAMTSL5"
"299","ADAP1"
"300","ADAP2"
"301","ADAR"
"302","ADARB1"
"303","ADARB2"
"304","ADAT1"
"305","ADAT2"
"306","ADAT3"
"307","ADCK1"
"308","ADCK2"
"309","ADCK3"
"310","ADCK4"
"311","ADCK5"
"312","ADCY1"
"313","ADCY10"
"314","ADCY10P1"
"315","ADCY2"
"316","ADCY3"
"317","ADCY4"
"318","ADCY5"
"319","ADCY6"
"320","ADCY7"
"321","ADCY8"
"322","ADCY9"
"323","ADCYAP1"
"324","ADCYAP1R1"
"325","ADD1"
"326","ADD2"
"327","ADD3"
"328","ADGB"
"329","ADGRA1"
"330","ADGRA2"
"331","ADGRA3"
"332","ADGRB1"
"333","ADGRB2"
"334","ADGRB3"
"335","ADGRD1"
"336","ADGRD2"
"337","ADGRE1"
"338","ADGRE2"
"339","ADGRE3"
"340","ADGRE4P"
"341","ADGRE5"
"342","ADGRF1"
"343","ADGRF2"
"344","ADGRF3"
"345","ADGRF4"
"346","ADGRF5"
"347","ADGRF5P1"
"348","ADGRG1"
"349","ADGRG2"
"350","ADGRG3"
"351","ADGRG4"
"352","ADGRG5"
"353","ADGRG6"
"354","ADGRG7"
"355","ADGRL1"
"356","ADGRL2"
"357","ADGRL3"
"358","ADGRL4"
"359","ADGRV1"
"360","ADH1A"
"361","ADH1B"
"362","ADH1C"
"363","ADH4"
"364","ADH5"
"365","ADH6"
"366","ADH7"
"367","ADHFE1"
"368","ADI1"
"369","ADIG"
"370","ADIPOQ"
"371","ADIPOR1"
"372","ADIPOR2"
"373","ADIRF"
"374","ADK"
"375","ADM"
"376","ADM2"
"377","ADM5"
"378","ADNP"
"379","ADNP2"
"380","ADO"
"381","ADORA1"
"382","ADORA2A"
"383","ADORA2B"
"384","ADORA3"
"385","ADPGK"
"386","ADPRH"
"387","ADPRHL1"
"388","ADPRHL2"
"389","ADPRM"
"390","ADRA1A"
"391","ADRA1B"
"392","ADRA1D"
"393","ADRA2A"
"394","ADRA2B"
"395","ADRA2C"
"396","ADRB1"
"397","ADRB2"
"398","ADRB3"
"399","ADRBK1"
"400","ADRBK2"
"401","ADRM1"
"402","ADSL"
"403","ADSS"
"404","ADSSL1"
"405","ADTRP"
"406","AEBP1"
"407","AEBP2"
"408","AEN"
"409","AES"
"410","AFAP1"
"411","AFAP1L1"
"412","AFAP1L2"
"413","AFF1"
"414","AFF2"
"415","AFF3"
"416","AFF4"
"417","AFG3L1P"
"418","AFG3L2"
"419","AFM"
"420","AFMID"
"421","AFP"
