"","x"
"1","acinar"
"2","acinar"
"3","acinar"
"4","acinar"
"5","acinar"
"6","acinar"
"7","beta"
"8","acinar"
"9","acinar"
"10","acinar"
"11","acinar"
"12","acinar"
"13","delta"
"14","delta"
"15","beta"
"16","activated_stellate"
"17","beta"
"18","acinar"
"19","ductal"
"20","beta"
"21","beta"
"22","alpha"
"23","ductal"
"24","beta"
"25","delta"
"26","alpha"
"27","beta"
"28","acinar"
"29","acinar"
"30","beta"
"31","delta"
"32","delta"
"33","delta"
"34","delta"
"35","beta"
"36","acinar"
"37","beta"
"38","beta"
"39","beta"
"40","delta"
"41","activated_stellate"
"42","beta"
"43","delta"
"44","activated_stellate"
"45","activated_stellate"
"46","activated_stellate"
"47","acinar"
"48","activated_stellate"
"49","delta"
"50","beta"
"51","delta"
"52","beta"
"53","acinar"
"54","beta"
"55","beta"
"56","activated_stellate"
"57","beta"
"58","beta"
"59","beta"
"60","beta"
"61","ductal"
"62","alpha"
"63","beta"
"64","ductal"
"65","ductal"
"66","acinar"
"67","alpha"
"68","beta"
"69","delta"
"70","alpha"
"71","beta"
"72","beta"
"73","beta"
"74","delta"
"75","beta"
"76","beta"
"77","delta"
"78","beta"
"79","beta"
"80","beta"
"81","beta"
"82","beta"
"83","beta"
"84","acinar"
"85","activated_stellate"
"86","delta"
"87","delta"
"88","beta"
"89","beta"
"90","beta"
"91","beta"
"92","beta"
"93","beta"
"94","beta"
"95","beta"
"96","beta"
"97","beta"
"98","delta"
"99","delta"
"100","beta"
"101","delta"
"102","alpha"
"103","alpha"
"104","delta"
"105","beta"
"106","beta"
"107","beta"
"108","beta"
"109","acinar"
"110","delta"
"111","beta"
"112","beta"
"113","delta"
"114","beta"
"115","beta"
"116","beta"
"117","delta"
"118","beta"
"119","delta"
"120","beta"
"121","beta"
"122","beta"
"123","epsilon"
"124","beta"
"125","beta"
"126","beta"
"127","delta"
"128","beta"
"129","delta"
"130","beta"
"131","alpha"
"132","alpha"
"133","beta"
"134","acinar"
"135","alpha"
"136","beta"
"137","beta"
"138","alpha"
"139","beta"
"140","delta"
"141","beta"
"142","beta"
"143","beta"
"144","beta"
"145","beta"
"146","delta"
"147","beta"
"148","ductal"
"149","ductal"
"150","beta"
"151","beta"
"152","beta"
"153","beta"
"154","delta"
"155","beta"
"156","activated_stellate"
"157","beta"
"158","beta"
"159","alpha"
"160","beta"
"161","alpha"
"162","beta"
"163","gamma"
"164","beta"
"165","beta"
"166","beta"
"167","beta"
"168","beta"
"169","beta"
"170","beta"
"171","acinar"
"172","beta"
"173","acinar"
"174","beta"
"175","beta"
"176","beta"
"177","acinar"
"178","delta"
"179","beta"
"180","delta"
"181","beta"
"182","acinar"
"183","alpha"
"184","beta"
"185","alpha"
"186","beta"
"187","alpha"
"188","endothelial"
"189","beta"
"190","beta"
"191","alpha"
"192","delta"
"193","beta"
"194","beta"
"195","delta"
"196","beta"
"197","gamma"
"198","alpha"
"199","beta"
"200","beta"
"201","delta"
"202","alpha"
"203","ductal"
"204","beta"
"205","alpha"
"206","beta"
"207","ductal"
"208","alpha"
"209","ductal"
"210","beta"
"211","beta"
"212","alpha"
"213","beta"
"214","beta"
"215","quiescent_stellate"
"216","ductal"
"217","ductal"
"218","endothelial"
"219","activated_stellate"
"220","beta"
"221","delta"
"222","gamma"
"223","beta"
"224","beta"
"225","beta"
"226","alpha"
"227","beta"
"228","beta"
"229","delta"
"230","ductal"
"231","beta"
"232","delta"
"233","delta"
"234","beta"
"235","delta"
"236","beta"
"237","activated_stellate"
"238","beta"
"239","beta"
"240","delta"
"241","beta"
"242","quiescent_stellate"
"243","beta"
"244","acinar"
"245","alpha"
"246","delta"
"247","beta"
"248","alpha"
"249","beta"
"250","endothelial"
"251","delta"
"252","delta"
"253","beta"
"254","beta"
"255","delta"
"256","gamma"
"257","alpha"
"258","beta"
"259","beta"
"260","beta"
"261","ductal"
"262","delta"
"263","alpha"
"264","beta"
"265","gamma"
"266","beta"
"267","beta"
"268","beta"
"269","quiescent_stellate"
"270","alpha"
"271","delta"
"272","alpha"
"273","endothelial"
"274","alpha"
"275","delta"
"276","beta"
"277","gamma"
"278","ductal"
"279","alpha"
"280","alpha"
"281","delta"
"282","beta"
"283","beta"
"284","ductal"
"285","alpha"
"286","beta"
"287","delta"
"288","macrophage"
"289","endothelial"
"290","beta"
"291","beta"
"292","beta"
"293","beta"
"294","beta"
"295","beta"
"296","beta"
"297","beta"
"298","beta"
"299","beta"
"300","beta"
"301","gamma"
"302","endothelial"
"303","beta"
"304","beta"
"305","beta"
"306","delta"
"307","beta"
"308","gamma"
"309","epsilon"
"310","delta"
"311","beta"
"312","beta"
"313","gamma"
"314","beta"
"315","beta"
"316","beta"
"317","beta"
"318","beta"
"319","endothelial"
"320","beta"
"321","delta"
"322","alpha"
"323","epsilon"
"324","alpha"
"325","quiescent_stellate"
"326","alpha"
"327","alpha"
"328","beta"
"329","beta"
"330","ductal"
"331","beta"
"332","alpha"
"333","beta"
"334","alpha"
"335","beta"
"336","beta"
"337","delta"
"338","delta"
"339","beta"
"340","beta"
"341","beta"
"342","ductal"
"343","acinar"
"344","beta"
"345","alpha"
"346","beta"
"347","beta"
"348","alpha"
"349","beta"
"350","quiescent_stellate"
"351","beta"
"352","gamma"
"353","beta"
"354","gamma"
"355","endothelial"
"356","beta"
"357","alpha"
"358","schwann"
"359","beta"
"360","quiescent_stellate"
"361","endothelial"
"362","gamma"
"363","beta"
"364","beta"
"365","alpha"
"366","alpha"
"367","gamma"
"368","beta"
"369","beta"
"370","delta"
"371","acinar"
"372","acinar"
"373","gamma"
"374","ductal"
"375","ductal"
"376","endothelial"
"377","delta"
"378","beta"
"379","beta"
"380","endothelial"
"381","alpha"
"382","acinar"
"383","endothelial"
"384","endothelial"
"385","alpha"
"386","beta"
"387","beta"
"388","gamma"
"389","beta"
"390","alpha"
"391","beta"
"392","beta"
"393","beta"
"394","beta"
"395","beta"
"396","delta"
"397","beta"
"398","quiescent_stellate"
"399","activated_stellate"
"400","beta"
"401","alpha"
"402","beta"
"403","gamma"
"404","quiescent_stellate"
"405","beta"
"406","alpha"
"407","quiescent_stellate"
"408","endothelial"
"409","beta"
"410","ductal"
"411","endothelial"
"412","ductal"
"413","acinar"
"414","alpha"
"415","delta"
"416","beta"
"417","macrophage"
"418","ductal"
"419","endothelial"
"420","endothelial"
"421","gamma"
"422","endothelial"
"423","endothelial"
"424","beta"
"425","beta"
"426","gamma"
"427","beta"
"428","mast"
"429","beta"
"430","endothelial"
"431","gamma"
"432","quiescent_stellate"
"433","alpha"
"434","beta"
"435","alpha"
"436","acinar"
"437","ductal"
"438","beta"
"439","beta"
"440","ductal"
"441","beta"
"442","beta"
"443","ductal"
"444","acinar"
"445","endothelial"
"446","beta"
"447","beta"
"448","beta"
"449","ductal"
"450","activated_stellate"
"451","beta"
"452","quiescent_stellate"
"453","acinar"
"454","gamma"
"455","quiescent_stellate"
"456","endothelial"
"457","endothelial"
"458","alpha"
"459","quiescent_stellate"
"460","beta"
"461","acinar"
"462","beta"
"463","endothelial"
"464","endothelial"
"465","beta"
"466","acinar"
"467","delta"
"468","beta"
"469","beta"
"470","beta"
"471","beta"
"472","beta"
"473","beta"
"474","beta"
"475","beta"
"476","gamma"
"477","ductal"
"478","beta"
"479","gamma"
"480","beta"
"481","delta"
"482","beta"
"483","beta"
"484","gamma"
"485","quiescent_stellate"
"486","delta"
"487","beta"
"488","delta"
"489","quiescent_stellate"
"490","delta"
"491","beta"
"492","alpha"
"493","delta"
"494","alpha"
"495","quiescent_stellate"
"496","quiescent_stellate"
"497","beta"
"498","endothelial"
"499","endothelial"
"500","activated_stellate"
"501","beta"
"502","alpha"
"503","delta"
"504","beta"
"505","endothelial"
"506","alpha"
"507","quiescent_stellate"
"508","beta"
"509","endothelial"
"510","activated_stellate"
"511","gamma"
"512","beta"
"513","quiescent_stellate"
"514","beta"
"515","endothelial"
"516","gamma"
"517","beta"
"518","beta"
"519","alpha"
"520","endothelial"
"521","gamma"
"522","beta"
"523","beta"
"524","beta"
"525","beta"
"526","endothelial"
"527","mast"
"528","beta"
"529","beta"
"530","endothelial"
"531","beta"
"532","endothelial"
"533","beta"
"534","endothelial"
"535","beta"
"536","quiescent_stellate"
"537","endothelial"
"538","endothelial"
"539","beta"
"540","endothelial"
"541","quiescent_stellate"
"542","beta"
"543","alpha"
"544","ductal"
"545","endothelial"
"546","beta"
"547","beta"
"548","endothelial"
"549","beta"
"550","beta"
"551","beta"
"552","endothelial"
"553","macrophage"
"554","endothelial"
"555","ductal"
"556","beta"
"557","ductal"
"558","endothelial"
"559","quiescent_stellate"
"560","beta"
"561","endothelial"
"562","endothelial"
"563","beta"
"564","endothelial"
"565","endothelial"
"566","alpha"
"567","ductal"
"568","beta"
"569","delta"
"570","delta"
"571","delta"
"572","acinar"
"573","acinar"
"574","acinar"
"575","acinar"
"576","delta"
"577","acinar"
"578","ductal"
"579","alpha"
"580","delta"
"581","delta"
"582","delta"
"583","delta"
"584","acinar"
"585","beta"
"586","acinar"
"587","endothelial"
"588","delta"
"589","beta"
"590","delta"
"591","alpha"
"592","ductal"
"593","delta"
"594","delta"
"595","beta"
"596","delta"
"597","beta"
"598","beta"
"599","delta"
"600","gamma"
"601","beta"
"602","delta"
"603","beta"
"604","delta"
"605","beta"
"606","alpha"
"607","beta"
"608","delta"
"609","delta"
"610","beta"
"611","delta"
"612","delta"
"613","ductal"
"614","beta"
"615","delta"
"616","delta"
"617","alpha"
"618","beta"
"619","alpha"
"620","alpha"
"621","beta"
"622","acinar"
"623","beta"
"624","beta"
"625","beta"
"626","delta"
"627","activated_stellate"
"628","beta"
"629","beta"
"630","beta"
"631","delta"
"632","beta"
"633","alpha"
"634","ductal"
"635","acinar"
"636","delta"
"637","beta"
"638","beta"
"639","beta"
"640","acinar"
"641","beta"
"642","delta"
"643","beta"
"644","beta"
"645","beta"
"646","delta"
"647","delta"
"648","beta"
"649","delta"
"650","beta"
"651","beta"
"652","beta"
"653","beta"
"654","beta"
"655","beta"
"656","acinar"
"657","beta"
"658","beta"
"659","beta"
"660","alpha"
"661","endothelial"
"662","beta"
"663","delta"
"664","beta"
"665","delta"
"666","beta"
"667","delta"
"668","beta"
"669","beta"
"670","delta"
"671","ductal"
"672","beta"
"673","beta"
"674","ductal"
"675","beta"
"676","beta"
"677","beta"
"678","beta"
"679","acinar"
"680","acinar"
"681","beta"
"682","alpha"
"683","beta"
"684","delta"
"685","beta"
"686","beta"
"687","beta"
"688","beta"
"689","beta"
"690","ductal"
"691","beta"
"692","acinar"
"693","beta"
"694","acinar"
"695","beta"
"696","ductal"
"697","beta"
"698","activated_stellate"
"699","alpha"
"700","beta"
"701","delta"
"702","delta"
"703","beta"
"704","beta"
"705","beta"
"706","beta"
"707","acinar"
"708","beta"
"709","beta"
"710","beta"
"711","delta"
"712","beta"
"713","ductal"
"714","beta"
"715","beta"
"716","ductal"
"717","macrophage"
"718","beta"
"719","delta"
"720","beta"
"721","beta"
"722","beta"
"723","beta"
"724","beta"
"725","activated_stellate"
"726","beta"
"727","beta"
"728","ductal"
"729","beta"
"730","beta"
"731","beta"
"732","beta"
"733","beta"
"734","delta"
"735","beta"
"736","beta"
"737","delta"
"738","beta"
"739","beta"
"740","beta"
"741","beta"
"742","alpha"
"743","beta"
"744","beta"
"745","acinar"
"746","beta"
"747","beta"
"748","beta"
"749","beta"
"750","ductal"
"751","beta"
"752","delta"
"753","beta"
"754","alpha"
"755","beta"
"756","beta"
"757","beta"
"758","beta"
"759","delta"
"760","beta"
"761","beta"
"762","delta"
"763","beta"
"764","beta"
"765","beta"
"766","beta"
"767","beta"
"768","beta"
"769","beta"
"770","gamma"
"771","beta"
"772","beta"
"773","delta"
"774","ductal"
"775","beta"
"776","beta"
"777","beta"
"778","delta"
"779","beta"
"780","ductal"
"781","beta"
"782","beta"
"783","beta"
"784","beta"
"785","ductal"
"786","activated_stellate"
"787","beta"
"788","alpha"
"789","beta"
"790","beta"
"791","activated_stellate"
"792","alpha"
"793","acinar"
"794","gamma"
"795","beta"
"796","beta"
"797","beta"
"798","delta"
"799","alpha"
"800","endothelial"
"801","gamma"
"802","beta"
"803","alpha"
"804","beta"
"805","beta"
"806","beta"
"807","beta"
"808","beta"
"809","endothelial"
"810","beta"
"811","delta"
"812","beta"
"813","alpha"
"814","beta"
"815","alpha"
"816","alpha"
"817","delta"
"818","alpha"
"819","ductal"
"820","beta"
"821","alpha"
"822","endothelial"
"823","beta"
"824","beta"
"825","ductal"
"826","delta"
"827","beta"
"828","beta"
"829","alpha"
"830","alpha"
"831","delta"
"832","gamma"
"833","alpha"
"834","beta"
"835","alpha"
"836","ductal"
"837","beta"
"838","gamma"
"839","beta"
"840","schwann"
"841","delta"
"842","beta"
"843","alpha"
"844","delta"
"845","beta"
"846","acinar"
"847","beta"
"848","beta"
"849","beta"
"850","beta"
"851","beta"
"852","alpha"
"853","beta"
"854","beta"
"855","macrophage"
"856","gamma"
"857","beta"
"858","beta"
"859","alpha"
"860","acinar"
"861","endothelial"
"862","alpha"
"863","beta"
"864","alpha"
"865","alpha"
"866","alpha"
"867","beta"
"868","beta"
"869","alpha"
"870","alpha"
"871","macrophage"
"872","alpha"
"873","beta"
"874","beta"
"875","beta"
"876","alpha"
"877","activated_stellate"
"878","delta"
"879","alpha"
"880","alpha"
"881","endothelial"
"882","beta"
"883","delta"
"884","beta"
"885","beta"
"886","beta"
"887","ductal"
"888","beta"
"889","ductal"
"890","beta"
"891","beta"
"892","activated_stellate"
"893","beta"
"894","ductal"
"895","beta"
"896","beta"
"897","delta"
"898","ductal"
"899","alpha"
"900","ductal"
"901","beta"
"902","gamma"
"903","ductal"
"904","beta"
"905","gamma"
"906","delta"
"907","alpha"
"908","gamma"
"909","alpha"
"910","beta"
"911","macrophage"
"912","beta"
"913","beta"
"914","quiescent_stellate"
"915","delta"
"916","beta"
"917","alpha"
"918","beta"
"919","alpha"
"920","beta"
"921","beta"
"922","gamma"
"923","alpha"
"924","beta"
"925","beta"
"926","beta"
"927","beta"
"928","macrophage"
"929","beta"
"930","delta"
"931","beta"
"932","gamma"
"933","epsilon"
"934","delta"
"935","alpha"
"936","beta"
"937","beta"
"938","delta"
"939","alpha"
"940","endothelial"
"941","beta"
"942","activated_stellate"
"943","acinar"
"944","beta"
"945","acinar"
"946","alpha"
"947","gamma"
"948","macrophage"
"949","beta"
"950","beta"
"951","acinar"
"952","beta"
"953","beta"
"954","alpha"
"955","delta"
"956","beta"
"957","ductal"
"958","alpha"
"959","beta"
"960","delta"
"961","beta"
"962","beta"
"963","acinar"
"964","beta"
"965","beta"
"966","beta"
"967","alpha"
"968","alpha"
"969","alpha"
"970","ductal"
"971","alpha"
"972","acinar"
"973","acinar"
"974","beta"
"975","delta"
"976","quiescent_stellate"
"977","alpha"
"978","delta"
"979","beta"
"980","ductal"
"981","beta"
"982","beta"
"983","beta"
"984","beta"
"985","quiescent_stellate"
"986","endothelial"
"987","acinar"
"988","activated_stellate"
"989","delta"
"990","beta"
"991","alpha"
"992","endothelial"
"993","endothelial"
"994","alpha"
"995","beta"
"996","gamma"
"997","beta"
"998","ductal"
"999","activated_stellate"
"1000","alpha"
"1001","beta"
"1002","beta"
"1003","alpha"
"1004","acinar"
"1005","quiescent_stellate"
"1006","beta"
"1007","alpha"
"1008","beta"
"1009","ductal"
"1010","beta"
"1011","delta"
"1012","beta"
"1013","beta"
"1014","beta"
"1015","beta"
"1016","quiescent_stellate"
"1017","beta"
"1018","beta"
"1019","schwann"
"1020","endothelial"
"1021","beta"
"1022","beta"
"1023","ductal"
"1024","gamma"
"1025","alpha"
"1026","gamma"
"1027","alpha"
"1028","quiescent_stellate"
"1029","endothelial"
"1030","quiescent_stellate"
"1031","delta"
"1032","beta"
"1033","ductal"
"1034","endothelial"
"1035","beta"
"1036","delta"
"1037","activated_stellate"
"1038","endothelial"
"1039","acinar"
"1040","endothelial"
"1041","delta"
"1042","gamma"
"1043","activated_stellate"
"1044","endothelial"
"1045","beta"
"1046","ductal"
"1047","beta"
"1048","beta"
"1049","alpha"
"1050","alpha"
"1051","beta"
"1052","ductal"
"1053","beta"
"1054","alpha"
"1055","endothelial"
"1056","endothelial"
