"","x"
"1","TSPAN6"
"2","TNMD"
"3","DPM1"
"4","SCYL3"
"5","C1orf112"
"6","FGR"
"7","CFH"
"8","FUCA2"
"9","GCLC"
"10","NFYA"
"11","STPG1"
"12","NIPAL3"
"13","LAS1L"
"14","ENPP4"
"15","SEMA3F"
"16","CFTR"
"17","ANKIB1"
"18","CYP51A1"
"19","KRIT1"
"20","RAD52"
"21","MYH16"
"22","BAD"
"23","LAP3"
"24","CD99"
"25","HS3ST1"
"26","AOC1"
"27","WNT16"
"28","HECW1"
"29","MAD1L1"
"30","LASP1"
"31","SNX11"
"32","TMEM176A"
"33","M6PR"
"34","KLHL13"
"35","CYP26B1"
"36","ICA1"
"37","DBNDD1"
"38","ALS2"
"39","CASP10"
"40","CFLAR"
"41","TFPI"
"42","NDUFAF7"
"43","RBM5"
"44","MTMR7"
"45","SLC7A2"
"46","ARF5"
"47","SARM1"
"48","POLDIP2"
"49","PLXND1"
"50","AK2"
"51","CD38"
"52","FKBP4"
"53","KDM1A"
"54","RBM6"
"55","CAMKK1"
"56","RECQL"
"57","CCDC132"
"58","HSPB6"
"59","ARHGAP33"
"60","NDUFAB1"
"61","PDK4"
"62","SLC22A16"
"63","ZMYND10"
"64","ABCB5"
"65","ARX"
"66","SLC25A13"
"67","ST7"
"68","CDC27"
"69","SLC4A1"
"70","CALCR"
"71","HCCS"
"72","DVL2"
"73","PRSS22"
"74","UPF1"
"75","SKAP2"
"76","SLC25A5"
"77","CCDC109B"
"78","HOXA11"
"79","POLR2J"
"80","DHX33"
"81","MEOX1"
"82","THSD7A"
"83","LIG3"
"84","RPAP3"
"85","ACSM3"
"86","AC004381.6"
"87","CIAPIN1"
"88","SPPL2B"
"89","FAM214B"
"90","COPZ2"
"91","PRKAR2B"
"92","MSL3"
"93","CREBBP"
"94","BZRAP1"
"95","MPO"
"96","PON1"
"97","GCFC2"
"98","WDR54"
"99","CROT"
"100","ABCB4"
"101","KMT2E"
"102","RHBDD2"
"103","SOX8"
"104","IBTK"
"105","ZNF195"
"106","MYCBP2"
"107","FBXL3"
"108","ITGAL"
"109","PDK2"
