"","x"
"1","A549"
"2","A549"
"3","A549"
"4","A549"
"5","A549"
"6","A549"
"7","A549"
"8","A549"
"9","A549"
"10","A549"
"11","A549"
"12","A549"
"13","A549"
"14","A549"
"15","A549"
"16","A549"
"17","A549"
"18","A549"
"19","A549"
"20","A549"
"21","A549"
"22","A549"
"23","A549"
"24","A549"
"25","A549"
"26","A549"
"27","A549"
"28","A549"
"29","A549"
"30","A549"
"31","A549"
"32","A549"
"33","A549"
"34","A549"
"35","A549"
"36","A549"
"37","A549"
"38","A549"
"39","A549"
"40","A549"
"41","A549"
"42","A549"
"43","A549"
"44","A549"
"45","A549"
"46","A549"
"47","A549"
"48","A549"
"49","A549"
"50","A549"
"51","A549"
"52","A549"
"53","A549"
"54","A549"
"55","A549"
"56","A549"
"57","A549"
"58","A549"
"59","A549"
"60","A549"
"61","A549"
"62","A549"
"63","A549"
"64","A549"
"65","A549"
"66","A549"
"67","A549"
"68","A549"
"69","A549"
"70","A549"
"71","A549"
"72","A549"
"73","A549"
"74","A549"
"75","GM12878_B1"
"76","GM12878_B1"
"77","GM12878_B1"
"78","GM12878_B1"
"79","GM12878_B1"
"80","GM12878_B1"
"81","GM12878_B1"
"82","GM12878_B1"
"83","GM12878_B1"
"84","GM12878_B1"
"85","GM12878_B1"
"86","GM12878_B1"
"87","GM12878_B1"
"88","GM12878_B1"
"89","GM12878_B1"
"90","GM12878_B1"
"91","GM12878_B1"
"92","GM12878_B1"
"93","GM12878_B1"
"94","GM12878_B1"
"95","GM12878_B1"
"96","GM12878_B1"
"97","GM12878_B1"
"98","GM12878_B1"
"99","GM12878_B1"
"100","GM12878_B1"
"101","GM12878_B1"
"102","GM12878_B1"
"103","GM12878_B1"
"104","GM12878_B1"
"105","GM12878_B1"
"106","H1437"
"107","H1437"
"108","H1437"
"109","H1437"
"110","H1437"
"111","H1437"
"112","H1437"
"113","H1437"
"114","H1437"
"115","H1437"
"116","H1437"
"117","H1437"
"118","H1437"
"119","H1437"
"120","H1437"
"121","H1437"
"122","H1437"
"123","H1437"
"124","H1437"
"125","H1437"
"126","H1437"
"127","H1437"
"128","H1437"
"129","H1437"
"130","H1437"
"131","H1437"
"132","H1437"
"133","H1437"
"134","H1437"
"135","H1437"
"136","H1437"
"137","H1437"
"138","H1437"
"139","H1437"
"140","H1437"
"141","H1437"
"142","H1437"
"143","H1437"
"144","H1437"
