"","x"
"1","A1BG"
"2","A1BG-AS1"
"3","A1CF"
"4","A2LD1"
"5","A2M"
"6","A2M-AS1"
"7","A2ML1"
"8","A2MP1"
"9","A4GALT"
"10","A4GNT"
"11","AA06"
"12","AAAS"
"13","AACS"
"14","AACSP1"
"15","AADAC"
"16","AADACL2"
"17","AADACL3"
"18","AADACL4"
"19","AADAT"
"20","AAED1"
"21","AAGAB"
"22","AAK1"
"23","AAMP"
"24","AANAT"
"25","AAR2"
"26","AARD"
"27","AARS"
"28","AARS2"
"29","AARSD1"
"30","AASDH"
"31","AASDHPPT"
"32","AASS"
"33","AATF"
"34","AATK"
"35","AATK-AS1"
"36","ABAT"
"37","ABCA1"
"38","ABCA10"
"39","ABCA11P"
"40","ABCA12"
"41","ABCA13"
"42","ABCA17P"
"43","ABCA2"
"44","ABCA3"
"45","ABCA4"
"46","ABCA5"
"47","ABCA6"
"48","ABCA7"
"49","ABCA8"
"50","ABCA9"
"51","ABCB1"
"52","ABCB10"
"53","ABCB11"
"54","ABCB4"
"55","ABCB5"
"56","ABCB6"
"57","ABCB7"
"58","ABCB8"
"59","ABCB9"
"60","ABCC1"
"61","ABCC10"
"62","ABCC11"
"63","ABCC12"
"64","ABCC13"
"65","ABCC2"
"66","ABCC3"
"67","ABCC4"
"68","ABCC5"
"69","ABCC5-AS1"
"70","ABCC6"
"71","ABCC6P1"
"72","ABCC6P2"
"73","ABCC8"
"74","ABCC9"
"75","ABCD1"
"76","ABCD2"
"77","ABCD3"
"78","ABCD4"
"79","ABCE1"
"80","ABCF1"
"81","ABCF2"
"82","ABCF3"
"83","ABCG1"
"84","ABCG2"
"85","ABCG4"
"86","ABCG5"
"87","ABCG8"
"88","ABHD1"
"89","ABHD10"
"90","ABHD11"
"91","ABHD11-AS1"
"92","ABHD12"
"93","ABHD12B"
"94","ABHD13"
"95","ABHD14A"
"96","ABHD14A-ACY1"
"97","ABHD14B"
"98","ABHD15"
"99","ABHD16A"
"100","ABHD16B"
"101","ABHD2"
"102","ABHD3"
"103","ABHD4"
"104","ABHD5"
"105","ABHD6"
"106","ABHD8"
"107","ABI1"
"108","ABI2"
"109","ABI3"
"110","ABI3BP"
"111","ABL1"
"112","ABL2"
"113","ABLIM1"
"114","ABLIM2"
"115","ABLIM3"
"116","ABO"
"117","ABP1"
"118","ABR"
"119","ABRA"
"120","ABRACL"
"121","ABT1"
"122","ABTB1"
"123","ABTB2"
"124","ACAA1"
"125","ACAA2"
"126","ACACA"
"127","ACACB"
"128","ACAD10"
"129","ACAD11"
"130","ACAD8"
"131","ACAD9"
"132","ACADL"
"133","ACADM"
"134","ACADS"
"135","ACADSB"
"136","ACADVL"
"137","ACAN"
"138","ACAP1"
"139","ACAP2"
"140","ACAP3"
"141","ACAT1"
"142","ACAT2"
"143","ACBD3"
"144","ACBD4"
"145","ACBD5"
"146","ACBD6"
"147","ACBD7"
"148","ACCS"
"149","ACCSL"
"150","ACD"
"151","ACE"
"152","ACE2"
"153","ACER1"
"154","ACER2"
"155","ACER3"
"156","ACHE"
"157","ACIN1"
"158","ACLY"
"159","ACMSD"
"160","ACN9"
"161","ACO1"
"162","ACO2"
"163","ACOT1"
"164","ACOT11"
"165","ACOT12"
"166","ACOT13"
"167","ACOT2"
"168","ACOT4"
"169","ACOT6"
"170","ACOT7"
"171","ACOT8"
"172","ACOT9"
"173","ACOX1"
"174","ACOX2"
"175","ACOX3"
"176","ACOXL"
"177","ACP1"
"178","ACP2"
"179","ACP5"
"180","ACP6"
"181","ACPL2"
"182","ACPP"
"183","ACPT"
"184","ACR"
"185","ACRBP"
"186","ACRC"
"187","ACRV1"
"188","ACSBG1"
"189","ACSBG2"
"190","ACSF2"
"191","ACSF3"
"192","ACSL1"
"193","ACSL3"
"194","ACSL4"
"195","ACSL5"
"196","ACSL6"
"197","ACSM1"
"198","ACSM2A"
"199","ACSM2B"
"200","ACSM3"
"201","ACSM4"
"202","ACSM5"
"203","ACSS1"
"204","ACSS2"
"205","ACSS3"
"206","ACTA1"
"207","ACTA2"
"208","ACTB"
"209","ACTBL2"
"210","ACTC1"
"211","ACTG1"
"212","ACTG1P4"
"213","ACTG2"
"214","ACTL10"
"215","ACTL6A"
"216","ACTL6B"
"217","ACTL7A"
"218","ACTL7B"
"219","ACTL8"
"220","ACTL9"
"221","ACTN1"
"222","ACTN2"
"223","ACTN3"
"224","ACTN4"
"225","ACTR10"
"226","ACTR1A"
"227","ACTR1B"
"228","ACTR2"
"229","ACTR3"
"230","ACTR3B"
"231","ACTR3BP2"
"232","ACTR3BP5"
"233","ACTR3C"
"234","ACTR5"
"235","ACTR6"
"236","ACTR8"
"237","ACTRT1"
"238","ACTRT2"
"239","ACTRT3"
"240","ACVR1"
"241","ACVR1B"
"242","ACVR1C"
"243","ACVR2A"
"244","ACVR2B"
"245","ACVR2B-AS1"
"246","ACVRL1"
"247","ACY1"
"248","ACY3"
"249","ACYP1"
"250","ACYP2"
"251","ADA"
"252","ADAD1"
"253","ADAD2"
"254","ADAL"
"255","ADAM1"
"256","ADAM10"
"257","ADAM11"
"258","ADAM12"
"259","ADAM15"
"260","ADAM17"
"261","ADAM18"
"262","ADAM19"
"263","ADAM2"
"264","ADAM20"
"265","ADAM20P1"
"266","ADAM21"
"267","ADAM21P1"
"268","ADAM22"
"269","ADAM23"
"270","ADAM28"
"271","ADAM29"
"272","ADAM30"
"273","ADAM32"
"274","ADAM33"
"275","ADAM3A"
"276","ADAM5P"
"277","ADAM6"
